Conditions,Classes
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min > -0.23126991838216782 AND Src_Port > 0.972082644701004 AND Flow_Duration <= -0.16642329841852188 AND Flow_IAT_Min > -0.2243746817111969 AND Flow_Duration > -0.1685970202088356 AND Src_Port <= 1.040113091468811 AND Flow_Duration <= -0.1669667288661003 AND Flow_IAT_Min <= -0.2210649698972702 AND Flow_IAT_Min > -0.22161658853292465,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port > 1.298836350440979 AND Flow_Duration > -0.16071728616952896 AND Flow_Duration <= -0.1525658294558525 AND Flow_IAT_Min <= -0.19403564929962158 AND Flow_IAT_Min > -0.20672287791967392 AND Flow_Duration <= -0.15473955124616623 AND Flow_IAT_Min <= -0.19569050520658493 AND Flow_Duration <= -0.15528298169374466 AND Flow_IAT_Min > -0.20561964064836502 AND Flow_IAT_Min <= -0.20120669156312943,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min > -0.23926838487386703 AND Flow_Duration <= -0.11805800721049309 AND Src_Port <= 0.9361713528633118 AND Flow_Duration <= -0.12648117542266846 AND Flow_Duration > -0.14414266496896744 AND Flow_IAT_Min > -0.15376747399568558 AND Flow_IAT_Min > -0.15266423672437668 AND Flow_Duration <= -0.1270246058702469 AND Flow_Duration > -0.12838318198919296,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port <= 1.080272376537323 AND Src_Port <= 0.5999148190021515 AND Src_Port > -0.9390902519226074 AND Src_Port <= 0.2610058933496475 AND Src_Port <= 0.2302543818950653 AND Src_Port > 0.1304570510983467 AND Src_Port <= 0.15103402733802795,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts <= -0.5978280305862427 AND Init_Bwd_Win_Byts <= -0.6002161204814911 AND Src_Port <= 0.36366286873817444 AND Init_Bwd_Win_Byts > -0.6019673943519592 AND Init_Bwd_Win_Byts > -0.6005345284938812 AND Flow_IAT_Min <= -0.24202647805213928 AND Flow_Duration > -0.17837876826524734 AND Src_Port > 0.15260890871286392 AND Flow_Duration <= -0.1560981273651123 AND Flow_IAT_Min > -0.24312972277402878 AND Flow_Duration > -0.15732084959745407,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min <= -0.2199617326259613 AND Init_Bwd_Win_Byts <= 2.005392551422119 AND Flow_IAT_Min > -0.24368134140968323 AND Init_Bwd_Win_Byts > 1.9850937128067017 AND Init_Bwd_Win_Byts > 1.9983078241348267 AND Flow_Duration > -0.1580001339316368 AND Flow_IAT_Min <= -0.24257809668779373 AND Init_Bwd_Win_Byts <= 1.998745620250702 AND Flow_Duration <= -0.15473955124616623 AND Flow_Duration > -0.1577284187078476 AND Flow_Duration > -0.15718498826026917 AND Flow_IAT_Min > -0.24312972277402878 AND Flow_Duration > -0.1558264121413231,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port > 1.676102638244629 AND Dst_Port <= 1.7042311429977417,Normal
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port <= 0.874875545501709 AND Src_Port <= 0.8747097551822662 AND Dst_Port > -0.46147421002388,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port <= 0.909543514251709 AND Src_Port > 0.893028050661087 AND Dst_Port > -0.7894360721111298,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts <= 1.932635247707367 AND Flow_Duration <= -0.17783533781766891 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Flow_IAT_Min > -0.24588781595230103 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration > -0.17892219871282578 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_IAT_Min <= -0.24312972277402878,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port <= -1.2714509963989258 AND Flow_IAT_Min <= -0.20617125928401947 AND Flow_IAT_Min <= -0.23926838487386703 AND Flow_Duration > -0.17810705304145813 AND Flow_IAT_Min <= -0.24312972277402878,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts > 1.932635247707367 AND Init_Bwd_Win_Byts > 1.9705263376235962 AND Flow_Duration <= -0.1558264121413231 AND Flow_Duration <= -0.15745670348405838 AND Flow_Duration <= -0.1580001339316368 AND Init_Bwd_Win_Byts > 1.9983078241348267 AND Init_Bwd_Win_Byts <= 1.9985466599464417 AND Flow_Duration > -0.17892219871282578 AND Flow_IAT_Min <= -0.24202647805213928 AND Flow_IAT_Min > -0.24588781595230103 AND Flow_IAT_Min > -0.24533619731664658,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port <= 0.7317277193069458 AND Init_Bwd_Win_Byts <= 0.048628779128193855 AND Dst_Port <= -0.6826541125774384 AND Src_Port <= 0.5372099280357361 AND Src_Port <= 0.2640727609395981 AND Src_Port <= 0.19430164992809296 AND Src_Port <= 0.18547406047582626 AND Src_Port > 0.09522958472371101 AND Src_Port > 0.10509327426552773 AND Src_Port > 0.11499840766191483,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port > -0.3370986729860306 AND Init_Bwd_Win_Byts > -0.5835790634155273 AND Init_Bwd_Win_Byts <= -0.5765739977359772 AND Flow_IAT_Min > -0.24533619731664658 AND Flow_Duration > -0.1487618163228035 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration <= -0.13544777780771255 AND Flow_IAT_Min > -0.15983528643846512 AND Flow_Duration <= -0.13599120825529099 AND Flow_Duration <= -0.1362629234790802,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port > 1.096891462802887 AND Dst_Port > -0.5680704414844513 AND Src_Port > 1.1651498675346375,Mirai-UDP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min <= -0.23126991838216782 AND Flow_Duration > -0.17810705304145813 AND Init_Bwd_Win_Byts <= -0.5983056426048279 AND Flow_IAT_Min > -0.24312972277402878 AND Flow_Duration > -0.1580001339316368 AND Flow_Duration > -0.15718498826026917 AND Flow_Duration <= -0.15392440557479858 AND Flow_Duration <= -0.15446783602237701 AND Flow_IAT_Min <= -0.24037162214517593,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port > 1.8638468384742737 AND Src_Port > -1.030992478132248 AND Src_Port <= 0.4904817268252373 AND Src_Port > -0.937204509973526,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port <= -0.5455942153930664 AND Src_Port <= 0.9586340188980103 AND Src_Port <= 0.8578213155269623 AND Src_Port > 0.8464241921901703 AND Flow_Duration > -0.17783533781766891 AND Src_Port > 0.8466728627681732 AND Flow_Duration <= -0.15636984258890152 AND Init_Bwd_Win_Byts <= -0.5931314527988434 AND Init_Bwd_Win_Byts <= -0.5938478708267212 AND Init_Bwd_Win_Byts <= -0.6004151403903961,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min > -0.23926838487386703 AND Flow_Duration <= -0.11805800721049309 AND Src_Port > 0.9361713528633118 AND Flow_Duration > -0.13952350616455078 AND Flow_IAT_Min > -0.23871676623821259 AND Flow_Duration > -0.1270246058702469 AND Flow_Duration <= -0.12159030511975288 AND Flow_IAT_Min > -0.23816514760255814 AND Flow_IAT_Min > -0.23513124138116837,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min <= -0.23126991838216782 AND Flow_Duration > -0.17810705304145813 AND Init_Bwd_Win_Byts <= -0.5983056426048279 AND Flow_IAT_Min > -0.24312972277402878 AND Flow_Duration <= -0.1580001339316368 AND Flow_IAT_Min <= -0.24037162214517593 AND Flow_IAT_Min > -0.24202647805213928 AND Flow_Duration <= -0.17729190737009048 AND Flow_IAT_Min <= -0.24147485941648483,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port > 1.365336298942566 AND Dst_Port <= 1.8418747782707214 AND Dst_Port <= 1.8062099814414978 AND Dst_Port <= 1.6989238262176514 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Dst_Port <= 1.668778657913208 AND Dst_Port <= 1.6059141755104065 AND Dst_Port > 1.5517802238464355,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min <= -0.23126991838216782 AND Flow_Duration > -0.17810705304145813 AND Init_Bwd_Win_Byts <= -0.5983056426048279 AND Flow_IAT_Min > -0.24312972277402878 AND Flow_Duration > -0.1580001339316368 AND Flow_Duration <= -0.15718498826026917 AND Flow_Duration > -0.15745670348405838 AND Flow_IAT_Min > -0.24257809668779373,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port > 0.7317277193069458 AND Src_Port > 0.762085497379303 AND Init_Bwd_Win_Byts > 0.7557033598423004 AND Dst_Port > -0.7424137890338898,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min <= -0.2199617326259613 AND Init_Bwd_Win_Byts <= 2.005392551422119 AND Flow_IAT_Min > -0.24368134140968323 AND Init_Bwd_Win_Byts <= 1.9850937128067017 AND Flow_Duration <= -0.15501126646995544 AND Flow_Duration <= -0.17430303990840912 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port > 0.8739016354084015 AND Flow_IAT_Min <= -0.23595867305994034 AND Init_Bwd_Win_Byts <= 1.9847753047943115 AND Init_Bwd_Win_Byts <= 1.9803175330162048 AND Init_Bwd_Win_Byts <= 1.9797602891921997 AND Init_Bwd_Win_Byts <= 1.978407084941864,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min > -0.2199617326259613 AND Flow_IAT_Min <= -0.20175831019878387 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Flow_Duration > -0.1647930070757866 AND Flow_Duration <= -0.16017385572195053 AND Init_Bwd_Win_Byts <= 1.9848549365997314 AND Init_Bwd_Win_Byts <= 1.9813922047615051 AND Flow_IAT_Min <= -0.20892935246229172 AND Flow_IAT_Min <= -0.21003258973360062 AND Flow_IAT_Min > -0.2144455462694168 AND Init_Bwd_Win_Byts <= 0.866988480091095 AND Flow_IAT_Min <= -0.21223906427621841 AND Flow_Duration > -0.16370615363121033,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts <= -0.5978280305862427 AND Init_Bwd_Win_Byts > -0.6002161204814911 AND Src_Port > 0.8472737967967987 AND Init_Bwd_Win_Byts <= -0.5979076325893402 AND Src_Port <= 1.1741017699241638 AND Src_Port > 0.8756836950778961 AND Src_Port <= 1.1142358183860779 AND Src_Port <= 1.0969536900520325 AND Src_Port <= 1.0867791175842285 AND Src_Port <= 1.0763973593711853 AND Src_Port <= 0.9536193013191223 AND Src_Port > 0.9061450958251953,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port > 1.080272376537323 AND Init_Bwd_Win_Byts <= -0.5878378450870514 AND Src_Port > 1.0896594524383545 AND Src_Port <= 1.164300262928009 AND Src_Port > 1.1288655400276184,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port > 0.909543514251709 AND Dst_Port <= -0.4858875721693039 AND Flow_Duration <= -0.14916939288377762 AND Init_Bwd_Win_Byts > -0.27583347260951996 AND Src_Port > 1.0165314078330994 AND Src_Port > 1.020406424999237 AND Dst_Port <= -0.7132238745689392 AND Init_Bwd_Win_Byts > 0.15812285244464874 AND Src_Port > 1.0982590913772583 AND Src_Port > 1.1748270392417908 AND Src_Port <= 1.1893324255943298,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port > 0.909543514251709 AND Dst_Port <= -0.4858875721693039 AND Flow_Duration <= -0.14916939288377762 AND Init_Bwd_Win_Byts > -0.27583347260951996 AND Src_Port > 1.0165314078330994 AND Src_Port > 1.020406424999237 AND Dst_Port <= -0.7132238745689392 AND Init_Bwd_Win_Byts > 0.15812285244464874 AND Src_Port > 1.0982590913772583 AND Src_Port <= 1.1748270392417908 AND Src_Port <= 1.1696673035621643 AND Src_Port > 1.1102779507637024 AND Src_Port > 1.142707884311676 AND Src_Port > 1.1678230166435242 AND Src_Port <= 1.169004201889038 AND Flow_Duration > -0.17810705304145813 AND Src_Port <= 1.1682581901550293,MITM ARP Spoofing
Flow_Duration > -0.11669943109154701 AND Flow_Duration <= -0.04877065494656563 AND Init_Bwd_Win_Byts > -0.6006141304969788 AND Src_Port <= -0.9739032685756683 AND Dst_Port > 0.9349709153175354 AND Dst_Port <= 1.9691427946090698,Normal
